,Item Number,Weight,Season,Sourced From,Made In,Lifestage,Breed Size,Food Form,Special Diet,name,Ingredients,Reccomendation Rate,Rating,Review Count,Shop Conscious,Packaging Type,Food Texture,Dimensions,Test Type,Administration Form,Product Form,Drug Type,Dog Breed,Grooming Feature,Health Condition,NASC Certified,Age Requirement,Restricted Availability,Toy Feature,Toy Flavor,Material,Farm Animal Type
537326,537326,24 pounds,N/A,N/A,"United States, Canada",Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"Sensitive Digestion, No Corn No Wheat No Soy, Limited Ingredient Diet, Pea-Free, Chicken-Free, With Grain",Natural Balance Limited Ingredient Lamb & Brown Rice Recipe Dry Dog Food,"Lamb, Lamb Meal, Brown Rice, Brewers Rice, Rice Bran, Brewers Dried Yeast, Canola Oil (Preserved With Mixed Tocopherols), Natural Flavor, Salt, Taurine, Dl-Methionine, Vitamins (Vitamin E Supplement, Ascorbic Acid, Niacin Supplement, Vitamin A Supplement, Thiamine Mononitrate, D-Calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement, Biotin), Potassium Chloride, Minerals (Zinc Proteinate, Zinc Sulfate, Ferrous Sulfate, Iron Proteinate, Copper Sulfate, Copper Proteinate, Sodium Selenite, Manganese Sulfate, Manganese Proteinate, Calcium Iodate), Choline Chloride, Citric Acid (Preservative), Mixed Tocopherols (Preservative), Rosemary Extract.",88.0,4.4,611.0,,,,,,,,,,,,,,,,,,
293450,293450,,N/A,,,Adult,"All Breeds, Giant Breeds, Small Breeds, Medium Breeds, Large Breeds","Dry Food, Treats","No Corn No Wheat No Soy, Natural, Molasses-Free, High-Protein, Human-Grade, Sensitive Digestion, High Fiber, Non-GMO",Bundle: Nutro Natural Choice Large Breed Adult Chicken & Brown Rice Recipe Dry Food + SmartBones SmartSticks Peanut Butter Chews Dog Treats,,100.0,5.0,2.0,,,,,,,,,,,,,,,,,,
90978,90978,14 pounds,N/A,Canada,Canada,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"Grain-Free, Gluten Free, No Corn No Wheat No Soy, Sensitive Digestion, Premium",PetKind Tripe Dry Grain-Free Green Beef Tripe Formula Dry Dog Food,"Beef Tripe, Beef, Chicken, Peas, Chicken Meal, Turkey Meal, Pea Starch,
Pea Protein, Chicken Fat (Preserved with Mixed Tocopherols), Lentils,
Flaxseed, Natural Flavor, Quinoa, Pumpkin, Spinach, Carrot, Broccoli,
Cranberry, Apple, Blueberry, Banana, Dicalcium Phosphate, Calcium
Carbonate, Sodium Chloride, Potassium Chloride, Salmon Oil (Preserved
With Mixed Tocopherols), Chicory Root, Vitamins (Vitamin A Acetate,
Vitamin D3 Supplement, A-Tocopherol Acetate, Niacin, Calcium Pantothenate,
Riboflavin, Thiamine Mononitrate, Pyridoxine Hydrochloride, Folic Acid,
Vitamin B12 Supplement), Minerals (Zinc Sulfate, Ferrous Sulfate, Zinc
Proteinate, Iron Proteinate, Copper Sulfate, Manganous Oxide, Copper
Proteinate, Manganese Proteinate, Calcium Iodate, Sodium Selenite),
Choline Chloride, Taurine, Dried Lactobacillus Acidophilus Fermentation
Product, Dried Lactobacillus Casei Fermentation Product, Dried Bifido
Bacterium Bifidium Thermophilum Fermentation Product, Dried
Streptococcus Faecium Fermentation Product, Yucca Schidigera Extract,
Rosemary, Cayenne, Peppermint, Thyme, Green Tea Extract.",87.0,4.5,39.0,,,,,,,,,,,,,,,,,,
87776,87776,,N/A,,,Puppy,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"Grain-Free, No Corn No Wheat No Soy","Nature's Recipe Grain-Free Puppy Chicken, Sweet Potato, & Pumpkin Recipe Dry Dog Food, 4-lb bag","Chicken, Chicken Meal, Garbanzo Beans, Peas, Pea Starch, Poultry Fat (Preserved With Mixed Tocopherols), Sweet Potatoes, Pumpkin, Natural Flavor, Dried Tomato Pomace, Salt, Potassium Chloride, Taurine, Dl Methionine, Choline Chloride, Minerals (Ferrous Sulfate, Iron , Proteinate, Zinc Proteinate, Zinc Oxide, Copper Sulfate, Manganese Proteinate, Copper Proteinate, Manganous Oxide, Calcium Iodate, Sodium, Selenite), Vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Inositol, Niacin, D-Calcium Pantothenate, Vitamin A Supplement, Riboflavin Supplement, Thiamine Mononitrate, Beta-Carotene, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Menadione Sodium Bisulfite Complex, Vitamin D3 Supplement, Folic Acid, Biotin), Lactic Acid, Citric Acid (Used As A Preservative), Rosemary Extract.",93.0,4.6,179.0,,,,,,,,,,,,,,,,,,
48815,48815,8.8 pounds,,N/A,United States,Adult,"Extra Small Breeds, Small Breeds",Dry Food,"High-Protein, Pea-Free, Veterinary Diet, With Grain",Royal Canin Veterinary Diet Adult Dental Small Breed Dry Dog Food,"New: Brewers Rice, Corn, Chicken By-Product Meal, Chicken Fat, Wheat Gluten, Dried Chicory Root, Pea Fiber, Natural Flavors, Fish Oil, Salt, Calcium Carbonate, Potassium Chloride, Sodium Tripolyphosphate, Vegetable Oil, Sodium Silico Aluminate, Fructooligosaccharides, Vitamins[Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Niacin Supplement, D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], Choline Chloride, Taurine, Dl-Methionine, Trace Minerals[Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Sodium Selenite, Calcium Iodate, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), N-Butyric Acid, Green Tea Extract, Magnesium Oxide, L-Carnitine, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.",91.0,4.5,106.0,,,,,,,,,,,,,,,,,,
63336,63336,30 pounds,N/A,Various,Various,Senior,"Large Breeds, Giant Breeds",Dry Food,With Grain,"Royal Canin Size Health Nutrition Large Adult 5+ Dry Dog Food, 30-lb bag","Chicken By-Product Meal, Wheat, Oat Groats, Brown Rice, Brewers Rice, Corn Gluten Meal, Chicken Fat, Natural Flavors, Dried Plain Beet Pulp, Wheat Gluten, Fish Oil, Vegetable Oil, Sodium Silico Aluminate, Potassium Chloride, Calcium Carbonate, Psyllium Seed Husk, Fructooligosaccharides, Sodium Tripolyphosphate, Choline Chloride, Vitamins [Dl-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Pyridoxine Hydrochloride (Vitamin B6), Niacin Supplement, Folic Acid, Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement], Salt, L-Lysine, Taurine, Trace Minerals [Zinc Proteinate, Manganese Proteinate, Zinc Oxide, Ferrous Sulfate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], L-Tyrosine, Glucosamine Hydrochloride, Gla Safflower Oil, Marigold Extract (Tagetes Erecta L.), Green Tea Extract, L-Carnitine, Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.",90.0,4.4,59.0,,,,,,,,,,,,,,,,,,
215358,215358,30 pounds,N/A,N/A,N/A,Senior,Large Breeds,Dry Food,"No Corn No Wheat No Soy, With Grain","Hill's Science Diet Adult 6+ Large Breed Chicken & Brown Rice Recipe Dry Dog Food, 30-lb bag","Chicken, Brown Rice, Whole Grain Oats, Brewers Rice, Chicken Meal, Chicken Fat, Yellow Peas, Cracked Pearled Barley, Dried Beet Pulp, Chicken Liver Flavor, Flaxseed, Lactic Acid, Potassium Chloride, Iodized Salt, Choline Chloride, Calcium Carbonate, DL-Methionine, Green Peas, Apples, vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Vitamin A Supplement, Calcium Pantothenate, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Riboflavin Supplement, Biotin, Folic Acid, Vitamin D3 Supplement), Cranberries, Carrots, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), Taurine, Broccoli, Mixed Tocopherols for freshness, Natural Flavors, Beta-Carotene.",82.0,3.5,11.0,,,,,,,,,,,,,,,,,,
254787,254787,22 pounds,,United States,United States,Adult,"Large Breeds, Medium Breeds, Small Breeds, All Breeds",Dry Food,"Grain-Free, No Corn No Wheat No Soy, Chicken-Free, Limited Ingredient Diet, Premium",BIXBI Liberty Beef Recipe Grain-Free Dry Dog Food,"Deboned Beef, Red Lentils, Whole Yellow Peas, Egg, Natural Beef Flavor, Beef Fat, Dicalcium Phosphate, Calcium Phosphate, Salt, Calcium Carbonate, Sunflower Oil, Choline Chloride, Salmon Oil, L-Threonine, Potassium Chloride, Vitamins (Vitamin E Supplement, Niacin Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement), Minerals (Zinc Proteinate, Iron Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Calcium Iodate), Taurine, Mixed Tocopherols (A Preservative), Rosemary Extract, Dandelion Greens, L-Carnitine, L-Tryptophan.",72.0,3.7,18.0,,,,,,,,,,,,,,,,,,
292732,292732,,N/A,,,Adult,"Small Breeds, Extra Small Breeds","Dry Food, Treats",,Bundle: Blue Buffalo Life Protection Formula Small Breed Adult Chicken & Brown Rice Recipe Dry Food + Greenies Teenie Dental Dog Treats,,100.0,5.0,2.0,,,,,,,,,,,,,,,,,,
933470,933470,,N/A,,,Puppy,"Medium Breeds, All Breeds, Large Breeds, Small Breeds","Treats, Dry Food","High-Protein, With Grain","Bundle: Puppy Chow Tender & Crunchy with Real Beef Dry Food + Healthy Start Salmon Flavor Training Dog Treats, 24-oz pouch",,,,,,,,,,,,,,,,,,,,,,
291644,291644,21 pounds,,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"High-Protein, Pea-Free, Natural, Raw, With Grain, Premium",Stella & Chewy's Wild Red Raw Blend Kibble Wholesome Grains Prairie Recipe Dry Dog Food,,79.0,4.1,19.0,Natural,,,,,,,,,,,,,,,,,
293336,293336,,N/A,,,Adult,"All Breeds, Small Breeds, Medium Breeds, Large Breeds","Dry Food, Treats",N/A,"Bundle: Moist & Meaty Burger with Cheddar Cheese Flavor Dry Food + Good 'n' Fun Triple Flavor Kabobs Chicken, Duck & Chicken Liver Dog Chews",,75.0,4.5,4.0,,,,,,,,,,,,,,,,,,
157278,157278,12.5 pounds,N/A,Various,N/A,Adult,"Extra Small Breeds, Small Breeds",Dry Food,"No Corn No Wheat No Soy, Limited Ingredient Diet, Gluten Free, Low Glycemic, Natural, Premium",Zignature Small Bites Trout & Salmon Meal Dry Dog Food,"Trout, Salmon Meal, Chickpeas, Peas, Dehydrated Alfalfa Meal, Sunflower Oil, Natural Flavor, Salmon Oil, Flaxseed, Potassium Chloride, Calcium Carbonate, Tricalcium Phosphate, Choline Chloride, Salt, Vitamins (Vitamin E Supplement, Vitamin A Supplement, Niacinamide, D-Calcium Pantothenate, Riboflavin, Thiamine Mononitrate, Vitamin B12 Supplement, Pyridoxine Hydrochloride, Folic Acid, Biotin), Taurine, Minerals (Zinc Proteinate, Iron Proteinate, Potassium Chloride, Copper Proteinate, Sodium Selenite, Manganese Proteinate, Calcium Iodate), Mixed Tocopherols (Preservative), L-Carnitine, Rosemary Extract, Dried Bacillus Coagulans Fermentation Product, Dried Bacillus Subtilis Fermentation Product, Dried Bifidobacterium Bifidum Fermentation Product.",84.0,4.1,50.0,Natural,,,,,,,,,,,,,,,,,
46888,46888,24 pounds,N/A,Various,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"Sensitive Digestion, No Corn No Wheat No Soy, Limited Ingredient Diet, Chicken-Free, With Grain, Natural",Blue Buffalo Basics Skin & Stomach Care Salmon & Potato Recipe Adult Dry Dog Food,"Deboned Salmon, Oatmeal, Brown Rice, Salmon Meal (source of Glucosamine), Peas, Potatoes, Pea Fiber, Canola Oil (source of Omega 6 Fatty Acids), Natural Flavor, Pea Protein, Dicalcium Phosphate, Calcium Carbonate, Fish Oil (source of Omega 3 Fatty Acids), Potassium Chloride, Pumpkin, Dried Chicory Root, Direct Dehydrated Alfalfa Pellets, Flaxseed, Alfalfa Nutrient Concentrate, Salt, Choline Chloride, Vitamin E Supplement, DL-Methionine, Preserved with Mixed Tocopherols, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Zinc Amino Acid Chelate, Zinc Sulfate, Glucosamine Hydrochloride, Vegetable juice for color, Ferrous Sulfate, Iron Amino Acid Chelate, Blueberries, Cranberries, Barley Grass, Parsley, Turmeric, Dried Kelp, Yucca Schidigera Extract, Niacin (Vitamin B3), Calcium Pantothenate (Vitamin B5), Copper Sulfate, Biotin (Vitamin B7), L-Lysine, Vitamin A Supplement, Copper Amino Acid Chelate, Dried Yeast, Manganese Sulfate, Dried Enterococcus faecium fermentation product, Dried Lactobacillus acidophilus fermentation product, Taurine, Manganese Amino Acid Chelate, Dried Aspergillus niger fermentation extract, Dried Trichoderma longibrachiatum fermentation extract, Dried Bacillus subtilis fermentation extract, Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Vitamin D3 Supplement, Vitamin B12 Supplement, Pyridoxine Hydrochloride (Vitamin B6), Calcium Iodate, Folic Acid (Vitamin B9), Sodium Selenite, Oil of Rosemary.",92.0,4.5,327.0,,,,,,,,,,,,,,,,,,
90740,90740,40 pounds,N/A,,,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds",Dry Food,"No Corn No Wheat No Soy, With Grain",Wholesomes Chicken Meal & Rice Formula Adult Dry Dog Food,"New: Chicken Meal, Brown Rice, Peas, Rice Bran, Chicken Fat (Preserved with Mixed Tocopherols), Dried Beet Pulp, Rice  , Flaxseed, Salt, Potassium Chloride, Choline Chloride, DL-Methionine, Vitamins (Vitamin E Supplement, Niacin, Calcium pantothenate, Vitamin A Supplement, Riboflavin Supplement, Thiamine mononitrate, Pyridoxine Hydrochloride, Biotin, Vitamin B12 Supplement, Vitamin D3 Supplement, Folic Acid), Minerals (Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Zinc Proteinate, Copper Proteinate, Manganese Proteinate, Sodium Selenite, Calcium Iodate, Cobalt Carbonate), Rosemary Extract.",91.0,4.4,358.0,,,,,,,,,,,,,,,,,,
92858,92858,17.6 pounds,,,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds, All Breeds, Extra Small Breeds, Giant Breeds",Dry Food,"Veterinary Diet, With Grain",Hill's Prescription Diet k/d Kidney Care with Lamb Dry Dog Food,"Brown Rice, Brewers Rice, Chicken Fat, Lamb, Soybean Meal, Cracked Pearled Barley, Dried Beet Pulp, Egg Product, Hydrolyzed Chicken Flavor, Fish Oil, Soybean Oil, Pork Liver Flavor, Lactic Acid, L-Lysine, Calcium Carbonate, Calcium Sulfate, Potassium Citrate, Betaine, Whole Grain Oats, DL-Methionine, Potassium Chloride, Fructooligosaccharides (FOS), vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Calcium Pantothenate, Riboflavin Supplement, Biotin, Vitamin A Supplement, Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement), Choline Chloride, L-Threonine, Iodized Salt, Taurine, minerals (Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Manganous Oxide, Calcium Iodate, Sodium Selenite), L-Tryptophan, L-Carnitine, Magnesium Oxide, Mixed Tocopherols for freshness, Natural Flavors, Beta-Carotene.",86.0,4.3,250.0,,,,,,,,,,,,,,,,,,
245941,245941,24 pounds,,Various,United States,Adult,"All Breeds, Small Breeds, Medium Breeds, Large Breeds",Dry Food,"Grain-Free, High-Protein, No Corn No Wheat No Soy","American Journey Duck & Sweet Potato Grain-Free Dry Dog Food, 24-lb bag","Deboned Duck, Chicken Meal (a source of Glucosamine and Chondroitin Sulfate), Chickpeas, Sweet Potatoes, Turkey Meal, Lentils, Peas, Chicken Fat (Preserved with Mixed Tocopherols), Dried Plain Beet Pulp, Pea Protein, Natural Flavor, Duck Meal, Menhaden Fish Meal, Flaxseed, Carrots, Salmon Oil, Salt, Blueberries, Taurine, Vitamins (Niacin Supplement, d-Calcium Pantothenate, Riboflavin Supplement, Vitamin A Supplement, Thiamine Mononitrate, Pyridoxine Hydrochloride, Vitamin B12 Supplement, Vitamin D3 Supplement, Folic Acid), DL-Methionine, Dried Bacillus coagulans Fermentation Product, Dried Kelp, Fructooligosaccharides, Minerals (Ferrous Sulfate, Zinc Proteinate, Zinc Sulfate, Iron Proteinate, Copper Sulfate, Potassium Chloride, Sodium Selenite, Copper Proteinate, Manganese Sulfate, Manganese Proteinate, Calcium Iodate), Choline Chloride, Mixed Tocopherols (Preservative), Vitamin E Supplement, Yucca Schidigera Extract, Rosemary Extract.",91.0,4.6,23.0,,,,18 x 14 x 6.5 inches,,,,,,,,,,,,,,
293448,293448,,N/A,,,Adult,"Giant Breeds, Large Breeds","Dry Food, Wet Food","No Corn No Wheat No Soy, Natural, Molasses-Free, High-Protein, Human-Grade, Sensitive Digestion, High Fiber, Non-GMO","Bundle: Nutro Natural Choice Large Breed Adult Chicken & Brown Rice Recipe Dry Food + Hearty Stew Tender Chicken, Carrot & Pea Stew Grain-Free Canned Dog Food",,100.0,4.5,2.0,Non-GMO,Can,Chunks in Gravy,,,,,,,,,,,,,,,
872646,872646,5 pounds,,Canada,Canada,Puppy,All Breeds,Dry Food,"High-Protein, No Corn No Wheat No Soy, Pea-Free, Flax-Free","Firstmate Grain Friendly High Performance Dry Dog Food, 5-lb bag","Chicken Meal, Pacific Ocean Fish Meal, Oatmeal, Brown Rice, Chicken Fat (Preserved With Mixed Tocopherols), Tomato Pomace, Calcium Propionate, Choline Chloride, Blueberries, Raspberries, Cranberries, Minerals: (Zinc Proteinate, Iron Proteinate, Calcium Carbonate, Manganese Proteinate, Copper Proteinate, Selenium Yeast, Calcium Iodate), Vitamins: (Vitamin E Supplement, Riboflavin, Pyridoxine Hydrochloride, Biotin, Vitamin B12 Supplement, Vitamin D3 Supplement, Folic Acid), Rosemary Extract",,,,,,,,,,,,,,,,,,,,,
294000,294000,,N/A,,,Adult,"All Breeds, Small Breeds, Medium Breeds, Large Breeds","Dry Food, Food Topping","No Corn No Wheat No Soy, With Grain, Natural",Bundle: Wellness Complete Health Adult Whitefish & Sweet Potato Recipe Dry Food + CORE Bowl Boosters Heart Health Dry Dog Food Topper,,100.0,5.0,1.0,,,,,,,,,,,,,,,,,,
272290,272290,24 pounds,,N/A,United States,Adult,"Small Breeds, Medium Breeds, Large Breeds",Dry Food,"No Corn No Wheat No Soy, Natural, Sensitive Digestion, With Grain","Solid Gold NutrientBoost Hund-N-Flocken Beef, Brown Rice & Pearled Barley Recipe Adult Dry Dog Food","Beef, Ocean Fish Meal, Brown Rice, Pearled Barley, White Rice, Peas, Chicken Fat (Preserved with Mixed Tocopherols), Dried Eggs, Dried Tomato Pomace, Animal Plasma, Ground Flaxseed, Natural Flavor, Spray Dried Animal Blood Cells, Carrots, Potassium Chloride, Pumpkin, Blueberries, Cranberries, Salmon Oil (Preserved with Mixed Tocopherols), Choline Chloride, Vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (Source of Vitamin C), Niacin, Calcium Pantothenate, Riboflavin, Pyridoxine Hydrochloride, Thiamine Mononitrate, Vitamin A Supplement, Vitamin B12 Supplement, Vitamin D3 Supplement, Biotin, Folic Acid), Minerals (Zinc Sulfate, Ferrous Sulfate, Copper Sulfate, Manganese Sulfate, Zinc Proteinate, Manganese Proteinate, Copper Proteinate, Sodium Selenite, Calcium Iodate), DL-Methionine, Dried Chicory Root, Taurine, Rosemary Extract, Dried Lactobacillus Acidophilus Fermentation Product, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Casei Fermentation Product.",95.0,4.5,177.0,Natural,,,,,,,,,,,,,,,,,
882774,882774,,N/A,,,Adult,"Medium Breeds, Large Breeds, Small Breeds","Dry Food, Wet Food",,Bundle: Gentle Giants Non-GMO Dog & Puppy Beef Wet Food + Natural Non-GMO Dog & Puppy Beef & Bacon Dry Dog Food,,100.0,5.0,1.0,,Can,Pate,,,,,,,,,,,,,,,
252919,252919,6 pounds,,Various,United States,Puppy,Large Breeds,Dry Food,"Grain-Free, High-Protein, Low Glycemic, Premium","Nulo Freestyle Salmon & Turkey Recipe Large Breed Puppy Grain-Free Dry Dog Food, 6-lb bag","Deboned Salmon, Turkey Meal, Red Lentils, Chickpeas, Salmon Meal, Sweet Potatoes, Chicken Fat (preserved with Mixed Tocopherols & Citric Acid), Ground Flaxseed, Ground Miscanthus Grass, Deboned Turkey, Natural Flavor, Potassium Chloride, DL-Methionine, Dried Chicory Root, Salt, Choline Chloride, Dried Apples, Dried Blueberries, Dried Carrots, Taurine, Dried Tomatoes, Calcium Carbonate, Vitamin E Supplement, Zinc Proteinate, Zinc Sulfate, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Iron Proteinate, Niacin Supplement, Ferrous Sulfate, Copper Proteinate, Copper Sulfate, Vitamin A Supplement, Manganese Proteinate, Thiamine Mononitrate, Calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride, Manganous Oxide, Biotin, Dried Bacillus coagulans Fermentation Product, Vitamin B12 Supplement, Vitamin D3 Supplement, Folic Acid, Sodium Selenite, Calcium Iodate, Rosemary Extract.",100.0,5.0,2.0,,,,,,,,,,,,,,,,,,
765998,765998,30 pounds,,Various,United States,Adult,Small Breeds,Dry Food,With Grain,"Pedigree Tender Bites Complete Nutrition Chicken & Steak Flavor Dry Dog Food, 30-lb bag","Ground Whole Grain Corn, Chicken By-Product Meal (Source of Glucosamine & Chondroitin Sulfate), Corn Gluten Meal, Animal Fat (Source of Omega 6 Fatty Acids) [Preserved with BHA/Citric Acid], Soybean Meal, Meat and Bone Meal (Source of Calcium), Ground Whole Grain Wheat, Natural Flavor, Brewers Rice, Water, Glycerin, Chicken Meal, Salt, Sugar, Calcium Carbonate, Monocalcium Phosphate, Potassium Chloride, Choline Chloride, Phosphoric Acid, Dried Peas, Potassium Sorbate (preservative), DL-Methionine, Natural Grilled Steak Flavor, Vitamin E Supplement, Zinc Sulfate, BHA (preservative), Citric Acid (preservative), Red 40, L-Tryptophan, Yellow 6, Dried Carrots, Niacin Supplement [Vitamin B3], Blue 2, Yellow 5, D-Calcium Pantothenate [Source of Vitamin B5], Copper Sulfate, Sodium Selenite, Potassium Iodide, Vitamin A Supplement, Riboflavin Supplement [Vitamin B2], Vitamin B12 Supplement, Thiamine Mononitrate [Vitamin B1], Vitamin D3 Supplement, Pyridoxine Hydrochloride [Vitamin B6], Folic Acid.",50.0,3.0,8.0,,,,,,,,,,,,,,,,,,
773166,773166,,N/A,,,Adult,"Small Breeds, Medium Breeds, Large Breeds","Dry Food, Treats, Wet Food",,"Bundle: Branded Pack - Rachael Ray Nutrish Small Breed Dry Food, Gentle Digestion Canned Food, Dog Chew Treats",,,,,,,Pate,,,,,,,,,,,,,,,
693550,693550,,N/A,,,Adult,All Breeds,"Freeze-Dried, Dry Food, Frozen","Premium, Grain-Free, No Corn No Wheat No Soy, Raw, Gluten Free",Bundle: Instinct Raw Boost Recipe with Real Beef & Freeze-Dried Raw Pieces Dry Food + Frozen Raw Bites Real Beef Recipe Dog Food,,,,,,,,,,,,,,,,,,,,,,
533150,533150,28 pounds,N/A,Various,Various,Adult,Medium Breeds,Dry Food,"Weight Control, Pea-Free, With Grain",Eukanuba Fit Body Weight Control Medium Breed Dry Dog Food,"Chicken, Chicken By-Product Meal, Wheat, Corn, Barley, Ground Grain Sorghum, Natural Flavors, Chicken Fat, Dried Plain Beet Pulp, Vegetable Oil, Egg Product, Potassium Chloride, Calcium Carbonate, Sodium Hexametaphosphate, Fructooligosaccharides, Salt, Fish Oil, Choline Chloride, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Niacin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement, Folic Acid], Glucosamine Hydrochloride, DL-Methionine, Trace Minerals [Zinc Oxide, Ferrous Sulfate, Copper Sulfate, Sodium Selenite, Calcium Iodate], Magnesium Oxide, L-Carnitine, Chondroitin Sulfate, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid.",95.0,4.5,55.0,,,,,,,,,,,,,,,,,,
838246,838246,50 pounds,,N/A,United States,Adult,Large Breeds,Dry Food,"Gluten Free, No Corn No Wheat No Soy, High-Protein, Flax-Free, With Grain",VICTOR Classic Elite Canine Dry Dog Food,"Chicken Meal, Whole Grain Brown Rice, Grain Sorghum, Peas, Chicken Fat (preserved with mixed Tocopherols), Whole Grain Millet, Menhaden Fish Meal (source of DHA-Docosahexaenoic Acid), Natural Flavor, Yeast Culture, Potassium Chloride, Carrot Powder, Tomato Pomace, Salt, Organic Dried Seaweed Meal, Taurine, Choline Chloride, Calcium Stearate, Zinc Methionine Complex, Vitamin E Supplement, DL-Methionine, Iron Amino Acid Complex, Hydrolyzed Yeast, Manganese Amino Acid Complex, Silicon Dioxide, L-Carnitine, Selenium Yeast, Brewers Dried Yeast, Dried Enterococcus Faecium Fermentation Product, Dried Lactobacillus Acidophilus Fermentation Product, Dried Aspergillus Oryzae Fermentation Extract, Dried Trichoderma Longibrachiatum Fermentation Extract, Dried Bacillus Subtilis Fermentation Extract, Copper Sulfate, Niacin Supplement, Vitamin B12 Supplement, Vitamin A Supplement, D-Calcium Pantothenate, Thiamine Mononitrate, Biotin, Yucca Schidigera Extract, Calcium Carbonate, Riboflavin Supplement, Calcium Iodate, Pyridoxine Hydrochloride, Vitamin D3 Supplement, Tetrasodium Pyrophosphate, Vegetable Oil, Rosemary Extract, Green Tea Extract, Spearmint Extract, Inulin, Lecithin, Folic Acid",87.0,4.2,60.0,,,,,,,,,,,,,,,,,,
